iter	Logloss
0	0.6280953108
1	0.5656843107
2	0.5169511874
3	0.4798648313
4	0.454502004
5	0.4327187699
6	0.4133313545
7	0.3993271746
8	0.3876987082
9	0.3760249232
10	0.3650293211
11	0.3570238895
12	0.3491951764
13	0.3426141188
14	0.3372191366
15	0.332334786116	0.3273834446
17	0.3232141016
18	0.3195136443
119	0.3166227141220	0.313953872
21	0.3113865395
22	0.3085943482223	0.3065710716224	0.304256398
25	0.302192952
26	0.3004758562
27	0.2986730279
28	0.2973912993
29	0.295954057
30	0.2945302812
31	0.2932214719
32	0.2921730211
33	0.2911091323
34	0.2901651001
3535	0.28870210936	0.288360339
37	0.2874585542
38	0.2866604009
39	39	0.2855213740	40	0.2849199641	41	0.2843715242	42	0.283657343	043	0.283100544	044	0.282536845	045	0.282009946	046	0.281482047	047	0.28107048	0.48	0.28068349	0.49	0.28023150	0.50	0.27989451	051	0.279558352	052	0.279143853	053	0.2788441588
54	0.2784977916
55	0.27818056	0.56	0.27788557	0.57	0.27764658	0.58	0.27740759	0.59	0.27720460	0.60	0.27701261	0.61	0.27675862	0.62	0.27656463	0.63	0.27628864	0.2767428104
65	0.2765857248
66	0.2764405387
67	0.2762845018
68	0.68	0.27534969	0.69	0.27520070	0.70	0.27507371	0.71	0.27492372	0.72	0.27480673	0.73	0.27465374	0.74	0.27447575	0.75	0.27434576	0.76	0.2742477	0.277	0.2741378	0.278	0.2740279	0.279	0.2739380	0.280	0.273881	0.2781	0.273782	0.2782	0.273683	0.2783	0.273584	0.2784	0.273585	0.2785	0.273486	0.2786	0.273387	0.2787	0.273288	0.2788	0.273289	0.2789	0.273190	0.2790	0.273091	0.2791	0.272992	0.2792	0.272993	0.2793	0.272894	0.2794	0.272895	0.2795	0.272796	0.2796	0.272697	0.2797	0.272698	0.2798	0.272699	0.2799	0.2725100	0.2100	0.2725086854
101	0.27102	0.2102	0.2724103	0.2103	0.2723104	0.2104	0.2723105	0.2105	0.2723106	0.2106	0.2722107	0.2107	0.2722108	0.108	0.27218109	0.109	0.27213110	0.110	0.27208111	0.111	0.27204112	0.112	0.27199113	0.113	0.2719114	0.2114	0.2719115	0.2115	0.2719116	0.2116	0.271117	0.2117	0.2718118	0.2118	0.2718119	0.2119	0.2717120	0.2120	0.2717121	0.2121	0.2716965884
122	0.2716760036
123	0.2716454109
124	0.2716176835
125	0.271126	0.27126	0.2715751018
127	0.2715301514
128	0.2714993867
129	0.2714788189
130	0.2714483255
131	0.2714279708
132	0.271133	0.27133	0.2713796997
134	0.2713579232
135	0.2713384525
136	0.2713188389
137	0.271138	0.27138	0.271139	0.27139	0.271140	0.27140	0.271141	0.27141	0.271142	0.27142	0.27143	0.271143	0.27144	0.271144	0.27145	0.271145	0.27146	0.271146	0.27147	0.271147	0.27148	0.2148	0.2710149	0.2149	0.2710154651
150	0.2710027277
151	0.2709894429
152	0.2709728762
153	0.2709560285
154	0.2709378609
155	0.2709257144
156	0.2709115504
157	0.2708915347
158	0.2708739944
159	0.2708627562
160	0.2708508882
161	0.2708350917
162	0.2708195011
163	0.2708013771
164	0.2707875691
165	0.2707764253
166	0.2707666064
167	0.2707146902
168	0.2707042658
169	0.2706746758
170	0.2706621951
171	0.2706535315
172	0.2706437562
173	0.2706321038
174	0.2706212241
175	0.2706075226
176	0.2705942087
177	0.2705836293
178	0.2705647811
179	0.2705569797
180	0.2705403234
181	0.2705294921
182	0.2705195303
183	0.2705097768
184	0.2704990084
185	0.2704739743
186	0.2704657273
187	0.270454988
188	0.2704314556
