iter	Passed	Remaining
0	230	192922
1	317	132592
2	373	104072
3	436	90968
4	496	82786
5	550	76340
6	609	72307
7	672	69806
8	729	67205
9	784	64947
10	841	63290
11	898	61857
12	958	60798
13	1018	59921
14	1071	58764
15	1130	58094
16	1190	57507
17	1249	56938
18	1306	56331
19	1363	55778
20	1420	55256
21	1472	54634
22	1527	54116
23	1578	53544
24	1628	52964
25	1694	52921
26	1760	52874
27	1816	52542
28	1870	52180
29	1926	51878
30	1978	51507
31	2035	51264
32	2095	51108
33	2152	50889
34	2208	50668
35	2269	50554
36	2334	50539
37	2395	50438
38	2455	50298
39	2507	50018
40	2563	49839
41	2626	49781
42	2691	49763
43	2753	49684
44	2809	49509
45	2863	49298
46	2916	49080
47	2970	48892
48	3026	48726
49	3079	48534
50	3139	48444
51	3192	48260
52	3250	48145
53	3308	48038
54	3364	47891
55	3414	47682
56	3465	47483
57	3512	47232
58	3565	47078
59	3620	46945
60	3678	46853
61	3728	46672
62	3782	46530
63	3842	46467
64	3888	46241
65	3941	46107
66	3999	46019
67	4045	45806
68	4099	45694
69	4155	45596
70	4204	45420
71	4257	45300
72	4312	45196
73	4370	45126
74	4431	45079
75	4489	45015
76	4543	44901
77	4600	44825
78	4653	44707
79	4709	44618
80	4761	44496
81	4808	44331
82	4856	44174
83	4904	44021
84	4959	43937
85	5011	43825
86	5069	43759
87	5120	43643
88	5170	43511
89	5224	43424
90	5279	43335
91	5333	43248
92	5386	43146
93	5442	43076
94	5495	42984
95	5543	42849
96	5596	42750
97	5645	42627
98	5690	42479
99	5743	42385
100	5794	42281
101	5842	42156
102	5897	42086
103	5950	41996
104	6007	41940
105	6064	41877
106	6112	41759
107	6168	41692
108	6219	41599
109	6270	41496
110	6321	41404
111	6370	41291
112	6417	41177
113	6470	41090
114	6562	41257
115	6628	41257
116	6685	41200
117	6741	41136
118	6796	41064
119	6845	40955
120	6894	40856
121	6953	40807
122	7007	40732
123	7059	40648
124	7117	40595
125	7169	40510
126	7224	40445
127	7277	40368
128	7334	40312
129	7386	40230
130	7443	40171
131	7499	40111
132	7557	40058
133	7613	39996
134	7663	39908
135	7710	39799
136	7772	39771
137	7830	39720
138	7881	39634
139	7945	39614
140	8009	39591
141	8069	39551
142	8130	39516
143	8196	39500
144	8249	39427
145	8312	39398
146	8368	39338
147	8422	39265
148	8488	39251
149	8546	39201
150	8612	39183
151	8676	39159
152	8736	39114
153	8794	39059
154	8847	38986
155	8905	38934
156	8965	38888
157	9022	38829
158	9074	38752
159	9137	38720
160	9193	38657
161	9244	38577
162	9296	38499
163	9348	38421
164	9403	38354
165	9454	38272
166	9505	38191
167	9564	38144
168	9607	38032
169	9659	37954
170	9711	37880
171	9765	37813
172	9815	37729
173	9868	37660
174	9921	37586
175	9973	37514
176	10026	37442
177	10074	37356
178	10124	37274
179	10172	37184
180	10227	37122
181	10274	37034
182	10327	36965
183	10385	36913
184	10431	36819
185	10487	36763
186	10537	36684
187	10588	36610
188	10640	36536
189	10692	36466
190	10745	36398
191	10801	36344
192	10852	36269
193	10916	36237
194	10962	36149
195	11017	36089
196	11067	36012
197	11126	35965
198	11179	35898
199	11217	35783
200	11269	35714
201	11316	35631
202	11356	35523
203	11397	35422
204	11440	35327
205	11476	35209
206	11517	35109
207	11558	35008
208	11605	34926
209	11649	34836
210	11696	34757
211	11735	34653
212	11771	34540
213	11811	34441
214	11850	34338
215	11891	34243
216	11928	34136
217	11969	34040
218	12007	33939
219	12043	33831
220	12080	33727
221	12117	33623
222	12153	33518
223	12188	33408
224	12225	33307
225	12258	33196
226	12294	33093
227	12328	32983
228	12368	32893
